episode_id,dyad,host_gender,guest_gender,host_word_count,guest_word_count,total_words,host_speaking_share,guest_speaking_share,dominance_ratio,host_hedge_count,guest_hedge_count,host_hedge_per_1k,guest_hedge_per_1k,host_booster_count,guest_booster_count,host_booster_per_1k,guest_booster_per_1k,host_polite_count,guest_polite_count,host_polite_per_1k,guest_polite_per_1k,host_directive_count,guest_directive_count,host_directive_per_1k,guest_directive_per_1k
ep_104_whisperx_diarized.gender.host_guest,MALE->MALE,male,male,2862,12149,15011,0.19066018253280928,0.8093398174671907,0.2355749444398716,26,28,9.084556254367577,2.304716437566878,2,7,0.6988120195667366,0.5761791093917195,9,13,3.1446540880503147,1.0700469174417648,2,9,0.6988120195667366,0.7408017120750678
ep_187_whisperx_diarized.gender.host_guest,MALE->MALE,male,male,2584,5052,7636,0.3383970665269775,0.6616029334730226,0.5114806017418844,8,19,3.095975232198142,3.760886777513856,1,1,0.3869969040247678,0.1979414093428345,4,4,1.547987616099071,0.7917656373713381,0,4,0.0,0.7917656373713381
ep_147_whisperx_diarized.gender.host_guest,FEMALE->FEMALE,female,female,1803,7248,9051,0.19920450778919457,0.8007954922108055,0.24875827814569537,5,88,2.7731558513588466,12.141280353200882,6,6,3.327787021630616,0.8278145695364238,4,5,2.2185246810870773,0.6898454746136866,5,18,2.7731558513588466,2.4834437086092715
ep_343_whisperx_diarized.gender.host_guest,FEMALE->FEMALE,female,female,1836,7059,8895,0.20640809443507588,0.7935919055649241,0.26009349766255846,4,26,2.1786492374727677,3.6832412523020257,5,3,2.7233115468409586,0.4249893752656183,3,12,1.6339869281045751,1.6999575010624737,2,8,1.0893246187363836,1.1333050007083156
ep_208_whisperx_diarized.gender.host_guest,MALE->MALE,male,male,3762,14555,18317,0.2053829775618278,0.7946170224381722,0.2584678804534524,17,54,4.518872939925571,3.7100652696667815,3,14,0.7974481658692185,0.9618687736173136,5,0,1.3290802764486975,0.0,4,9,1.063264221158958,0.6183442116111302
ep_302_whisperx_diarized.gender.host_guest,FEMALE->FEMALE,female,female,1445,8140,9585,0.1507563901930099,0.8492436098069901,0.17751842751842753,10,106,6.920415224913495,13.022113022113022,1,5,0.6920415224913494,0.6142506142506142,3,13,2.0761245674740487,1.597051597051597,1,17,0.6920415224913494,2.088452088452088
ep_256_whisperx_diarized.gender.host_guest,MALE->FEMALE,male,female,2739,9252,11991,0.22842131598699025,0.7715786840130098,0.29604409857328146,4,27,1.460387002555677,2.9182879377431905,2,13,0.7301935012778387,1.4051015996541287,11,2,4.016064257028112,0.2161694768698659,3,31,1.095290251916758,3.3506268914829223
ep_338_whisperx_diarized.gender.host_guest,FEMALE->MALE,female,male,1697,8707,10404,0.1631103421760861,0.8368896578239139,0.19490065464568737,5,119,2.946375957572186,13.667164350522569,1,4,0.5892751915144372,0.4594004823705065,7,10,4.124926340601061,1.1485012059262665,3,8,1.7678255745433118,0.918800964741013
ep_220_whisperx_diarized.gender.host_guest,MALE->FEMALE,male,female,2600,7427,10027,0.25929989029620026,0.7407001097037997,0.3500740541268345,5,24,1.9230769230769231,3.2314528073246267,2,11,0.7692307692307693,1.4810825366904536,3,3,1.153846153846154,0.4039316009155783,1,1,0.3846153846153846,0.1346438669718594
ep_124_whisperx_diarized.gender.host_guest,FEMALE->FEMALE,female,female,7240,2031,9271,0.7809297810376443,0.21907021896235573,3.564746430329887,149,17,20.58011049723757,8.370260955194485,6,3,0.8287292817679558,1.4771048744460855,8,0,1.1049723756906078,0.0,23,7,3.1767955801104977,3.4465780403742
ep_326_whisperx_diarized.gender.host_guest,FEMALE->MALE,female,male,1193,3495,4688,0.25447952218430037,0.7455204778156996,0.3413447782546495,11,41,9.220452640402346,11.7310443490701,0,2,0.0,0.5722460658082976,6,11,5.029337803855825,3.1473533619456364,1,1,0.8382229673093042,0.2861230329041488
ep_064_whisperx_diarized.gender.host_guest,MALE->FEMALE,male,female,2992,9205,12197,0.24530622284168238,0.7546937771583176,0.3250407387289517,26,101,8.689839572192513,10.972297664312872,1,12,0.3342245989304813,1.3036393264530146,10,17,3.342245989304813,1.8468223791417708,9,7,3.008021390374332,0.7604562737642585
